epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8527,1.66108,5.90959,4.5648,0.02243,13.2191,0.00588,0.375,0.05036,0.03109,0.00312,0.25,0.04299,0.02512,1.21744,4.42989,5.94074,0.02456,0,0.00028785,0.00028785,0.00028785
2,29.8671,1.7122,5.7113,4.67907,0.022,13.0817,0.01773,0.45833,0.11211,0.02866,0.00177,0.08333,0.00835,0.00576,1.24564,5.17556,5.91659,0.03164,0,0.000561603,0.000561603,0.000561603
3,35.4937,1.74892,6.03256,4.60212,0.02406,13.1183,0.01773,0.45833,0.11211,0.02866,0.00177,0.08333,0.00835,0.00576,1.24564,5.17556,5.91659,0.03164,0,0.000805359,0.000805359,0.000805359
4,42.8052,1.8836,5.6031,4.80313,0.02319,13.0867,0.00844,0.54167,0.02871,0.01116,0.00488,0.20833,0.0137,0.00688,1.29421,5.9282,5.9005,0.0309,0,0.000774013,0.000774013,0.000774013
5,49.5837,1.66006,5.36927,4.62036,0.02132,12.7165,0.00667,0.5,0.02482,0.01027,0.00123,0.08333,0.0012,0.00053,1.71854,6.36307,6.20922,0.04331,0,0.000729018,0.000729018,0.000729018
6,56.15,1.61916,4.89147,4.75134,0.02393,12.6213,0.00667,0.5,0.02482,0.01027,0.00123,0.08333,0.0012,0.00053,1.71854,6.36307,6.20922,0.04331,0,0.000684022,0.000684022,0.000684022
7,64.1855,1.55652,4.82277,4.51173,0.02041,12.1929,0.00702,0.54167,0.0151,0.00641,0.00171,0.16667,0.00154,0.00047,1.41859,6.82868,6.01714,0.03137,0,0.000639027,0.000639027,0.000639027
8,71.1349,1.38654,4.38265,4.61067,0.01916,11.8761,0.00565,0.5,0.0117,0.00508,0.00136,0.16667,0.00397,0.00171,1.53981,5.34591,6.03444,0.03454,0,0.000594031,0.000594031,0.000594031
9,78.8055,1.54763,4.40687,4.58885,0.0222,11.8712,0.00565,0.5,0.0117,0.00508,0.00136,0.16667,0.00397,0.00171,1.53981,5.34591,6.03444,0.03454,0,0.000549036,0.000549036,0.000549036
10,86.9094,1.46697,4.19804,4.57041,0.02092,11.2198,0.00749,0.58333,0.06331,0.02037,0.00611,0.45833,0.02707,0.00808,1.42337,4.67592,5.93066,0.02972,0,0.00050404,0.00050404,0.00050404
11,94.6937,1.73825,4.34984,5.52372,0.03097,11.4088,0.01838,0.625,0.03709,0.02106,0.00551,0.45833,0.02098,0.01223,1.4698,4.29408,5.8652,0.03035,0,0.000459045,0.000459045,0.000459045
12,102.314,1.66787,4.22412,5.47976,0.02822,11.0207,0.01838,0.625,0.03709,0.02106,0.00551,0.45833,0.02098,0.01223,1.4698,4.29408,5.8652,0.03035,0,0.000414049,0.000414049,0.000414049
13,110.004,1.65233,4.09981,5.40758,0.02855,11.0104,0.01498,0.70833,0.19929,0.15438,0.01238,0.58333,0.19032,0.13648,1.31323,4.05873,5.76011,0.02568,0,0.000369054,0.000369054,0.000369054
14,117.629,1.62226,4.16196,5.36814,0.02669,10.9571,0.01482,0.66667,0.12013,0.09153,0.01303,0.58333,0.11326,0.08478,1.32996,3.96543,5.7009,0.0275,0,0.000324058,0.000324058,0.000324058
15,125.442,1.59726,4.00345,5.49432,0.02871,10.5353,0.01482,0.66667,0.12013,0.09153,0.01303,0.58333,0.11326,0.08478,1.32996,3.96543,5.7009,0.0275,0,0.000279063,0.000279063,0.000279063
16,132.882,1.73906,4.06627,5.36424,0.03297,10.6674,0.01313,0.625,0.1516,0.11957,0.01268,0.58333,0.14817,0.11775,1.30782,4.03669,5.63202,0.02879,0,0.000234068,0.000234068,0.000234068
17,138.036,1.49449,3.98377,5.37195,0.02319,10.4001,0.01313,0.625,0.1516,0.11957,0.01268,0.58333,0.14817,0.11775,1.30782,4.03669,5.63202,0.02879,0,0.000189072,0.000189072,0.000189072
18,143.239,1.63662,3.88365,5.52228,0.02792,10.4698,0.00719,0.54167,0.13353,0.11059,0.00588,0.41667,0.12999,0.10677,1.27089,4.02469,5.61106,0.02887,0,0.000144077,0.000144077,0.000144077
19,148.518,1.50464,3.74029,5.29161,0.02084,10.2789,0.00856,0.58333,0.16846,0.13223,0.00807,0.54167,0.16551,0.12817,1.24108,4.10736,5.56968,0.02838,0,9.9081e-05,9.9081e-05,9.9081e-05
20,153.759,1.53581,3.87402,5.28392,0.02432,10.3789,0.00856,0.58333,0.16846,0.13223,0.00807,0.54167,0.16551,0.12817,1.24108,4.10736,5.56968,0.02838,0,5.40855e-05,5.40855e-05,5.40855e-05
