epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,2005.77,1.32551,1.62692,1.72437,0.02604,0.6837,0.61457,0.66923,0.44846,1.30839,1.4911,1.84373,0.02732,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,2094.61,1.34357,1.61665,1.71893,0.0267,0.68456,0.61917,0.66526,0.44754,1.295,1.52539,1.80803,0.02954,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,2181.46,1.31293,1.58505,1.70527,0.02544,0.60223,0.58785,0.60358,0.39226,1.35778,1.66682,1.87032,0.0286,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,2266.82,1.32365,1.57783,1.71001,0.02516,0.65752,0.62844,0.64553,0.41145,1.35518,1.70548,1.88708,0.02878,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,2349.74,1.3106,1.56104,1.69554,0.02583,0.66418,0.61001,0.6489,0.43456,1.288,1.45925,1.80645,0.02786,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,2434.82,1.2959,1.52995,1.67774,0.02506,0.66704,0.61199,0.6565,0.44357,1.30859,1.54972,1.82113,0.02735,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,2521.38,1.29887,1.52913,1.68413,0.02513,0.69895,0.64705,0.69859,0.47048,1.262,1.40396,1.78499,0.02775,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,2607.57,1.28708,1.51232,1.66387,0.02642,0.70806,0.64842,0.69399,0.46387,1.28069,1.43519,1.79473,0.02638,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,2691.72,1.27876,1.496,1.66736,0.02541,0.71178,0.66256,0.71823,0.49904,1.23036,1.34598,1.74336,0.02523,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,2776.69,1.26934,1.47359,1.64766,0.02558,0.7174,0.67331,0.72347,0.4883,1.24945,1.40754,1.77133,0.02698,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,2861.37,1.26808,1.472,1.64971,0.02457,0.70736,0.66982,0.71568,0.49592,1.21384,1.3804,1.71683,0.02604,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
